"Storage 105444 AM - RawData - C:\WINDOWS\Desktop\Dylan Grassie\Experiments\Cc\06-10-15\Trial 1\Cc_pH7_HEPESbuffer.spc"
"Wavelength nm.","Abs."
200.0,2.54968
201.0,2.57083
202.0,2.58681
203.0,2.59341
204.0,2.61902
205.0,2.63715
206.0,2.65796
207.0,2.67445
208.0,2.69379
209.0,2.71997
210.0,2.72856
211.0,2.73207
212.0,2.73924
213.0,2.74832
214.0,2.75578
215.0,2.75955
216.0,2.76144
217.0,2.77318
218.0,2.78503
219.0,2.78105
220.0,2.75623
221.0,2.68512
222.0,2.53548
223.0,2.32465
224.0,2.07758
225.0,1.82651
226.0,1.60434
227.0,1.40431
228.0,1.22722
229.0,1.07054
230.0,0.93437
231.0,0.81638
232.0,0.71385
233.0,0.62978
234.0,0.55843
235.0,0.49995
236.0,0.45303
237.0,0.41405
238.0,0.38371
239.0,0.36119
240.0,0.34454
241.0,0.33191
242.0,0.32274
243.0,0.31725
244.0,0.31456
245.0,0.31438
246.0,0.31673
247.0,0.32091
248.0,0.32553
249.0,0.33148
250.0,0.33904
251.0,0.34770
252.0,0.35762
253.0,0.36743
254.0,0.37712
255.0,0.38727
256.0,0.39806
257.0,0.40900
258.0,0.41869
259.0,0.42767
260.0,0.43628
261.0,0.44321
262.0,0.44888
263.0,0.45369
264.0,0.45743
265.0,0.45891
266.0,0.45818
267.0,0.45657
268.0,0.45404
269.0,0.44983
270.0,0.44324
271.0,0.43459
272.0,0.42487
273.0,0.41484
274.0,0.40442
275.0,0.39265
276.0,0.37920
277.0,0.36526
278.0,0.35152
279.0,0.33778
280.0,0.32365
281.0,0.30922
282.0,0.29501
283.0,0.28227
284.0,0.26888
285.0,0.25426
286.0,0.24132
287.0,0.22949
288.0,0.21780
289.0,0.20753
290.0,0.19804
291.0,0.18840
292.0,0.17993
293.0,0.17207
294.0,0.16484
295.0,0.15907
296.0,0.15437
297.0,0.14992
298.0,0.14603
299.0,0.14426
300.0,0.14314
301.0,0.14203
302.0,0.14211
303.0,0.14182
304.0,0.14156
305.0,0.14188
306.0,0.14346
307.0,0.14497
308.0,0.14592
309.0,0.14714
310.0,0.14810
311.0,0.14915
312.0,0.15025
313.0,0.15013
314.0,0.15031
315.0,0.15068
316.0,0.14922
317.0,0.14777
318.0,0.14630
319.0,0.14461
320.0,0.14374
321.0,0.14212
322.0,0.13995
323.0,0.13861
324.0,0.13724
325.0,0.13530
326.0,0.13316
327.0,0.13185
328.0,0.13029
329.0,0.12897
330.0,0.12843
331.0,0.12709
332.0,0.12563
333.0,0.12531
334.0,0.12399
335.0,0.12209
336.0,0.12138
337.0,0.12196
338.0,0.12239
339.0,0.12199
340.0,0.12114
341.0,0.11993
342.0,0.11897
343.0,0.11867
344.0,0.11819
345.0,0.11681
346.0,0.11581
347.0,0.11568
348.0,0.11501
349.0,0.11404
350.0,0.11394
351.0,0.11371
352.0,0.11240
353.0,0.11055
354.0,0.10959
355.0,0.10941
356.0,0.10898
357.0,0.10738
358.0,0.10649
359.0,0.10666
360.0,0.10881
361.0,0.11104
362.0,0.11017
363.0,0.11003
364.0,0.11162
365.0,0.11568
366.0,0.11880
367.0,0.11890
368.0,0.11780
369.0,0.11671
370.0,0.11774
371.0,0.11913
372.0,0.11928
373.0,0.11978
374.0,0.12070
375.0,0.12076
376.0,0.12144
377.0,0.12204
378.0,0.12256
379.0,0.12482
380.0,0.12726
381.0,0.12920
382.0,0.13110
383.0,0.13167
384.0,0.13361
385.0,0.13622
386.0,0.13869
387.0,0.14160
388.0,0.14413
389.0,0.14751
390.0,0.15096
391.0,0.15421
392.0,0.15735
393.0,0.16075
394.0,0.16444
395.0,0.16899
396.0,0.17398
397.0,0.17973
398.0,0.18492
399.0,0.19023
400.0,0.19728
401.0,0.20512
402.0,0.21405
403.0,0.22415
404.0,0.23483
405.0,0.24586
406.0,0.25795
407.0,0.27045
408.0,0.28278
409.0,0.29486
410.0,0.30606
411.0,0.31586
412.0,0.32405
413.0,0.32973
414.0,0.33263
415.0,0.33174
416.0,0.32631
417.0,0.31548
418.0,0.30075
419.0,0.28566
420.0,0.26949
421.0,0.25221
422.0,0.23540
423.0,0.21857
424.0,0.20198
425.0,0.18690
426.0,0.17342
427.0,0.16122
428.0,0.15117
429.0,0.14255
430.0,0.13484
431.0,0.12865
432.0,0.12320
433.0,0.11856
434.0,0.11465
435.0,0.11111
436.0,0.10767
437.0,0.10420
438.0,0.10118
439.0,0.09871
440.0,0.09631
441.0,0.09413
442.0,0.09200
443.0,0.08997
444.0,0.08876
445.0,0.08775
446.0,0.08665
447.0,0.08568
448.0,0.08496
449.0,0.08479
450.0,0.08456
451.0,0.08371
452.0,0.08302
453.0,0.08278
454.0,0.08266
455.0,0.08237
456.0,0.08211
457.0,0.08182
458.0,0.08145
459.0,0.08145
460.0,0.08151
461.0,0.08145
462.0,0.08173
463.0,0.08217
464.0,0.08192
465.0,0.08142
466.0,0.08118
467.0,0.08127
468.0,0.08148
469.0,0.08148
470.0,0.08115
471.0,0.08093
472.0,0.08112
473.0,0.08130
474.0,0.08122
475.0,0.08110
476.0,0.08083
477.0,0.08051
478.0,0.08029
479.0,0.08022
480.0,0.08038
481.0,0.08031
482.0,0.08026
483.0,0.08009
484.0,0.07983
485.0,0.07983
486.0,0.07973
487.0,0.07977
488.0,0.07988
489.0,0.08015
490.0,0.08057
491.0,0.08060
492.0,0.08072
493.0,0.08105
494.0,0.08130
495.0,0.08162
496.0,0.08173
497.0,0.08180
498.0,0.08214
499.0,0.08273
500.0,0.08328
501.0,0.08376
502.0,0.08461
503.0,0.08559
504.0,0.08652
505.0,0.08752
506.0,0.08876
507.0,0.08981
508.0,0.09088
509.0,0.09216
510.0,0.09288
511.0,0.09367
512.0,0.09470
513.0,0.09557
514.0,0.09628
515.0,0.09718
516.0,0.09845
517.0,0.09956
518.0,0.10066
519.0,0.10175
520.0,0.10205
521.0,0.10123
522.0,0.09941
523.0,0.09726
524.0,0.09526
525.0,0.09384
526.0,0.09296
527.0,0.09193
528.0,0.09096
529.0,0.09019
530.0,0.08934
531.0,0.08826
532.0,0.08742
533.0,0.08673
534.0,0.08617
535.0,0.08611
